,conml,weburl
0,3D Pioneer Systems Inc,not_found-1
1,Three Rivers Operating Company Inc,http://3roc.com/
2,Olie Inc,not_found-1
3,Capital Cities/ABC Inc,not_found-1
4,ABC Family Worldwide Inc,not_found-1
5,American City Business Journals,http://acbj.com/
6,Circon Corp,http://www.circon.com/
7,Affiliated Computer Services Inc.,http://www.acs.com/
8,Fidelity Advisor Emerging Asia Fund,not-needed
9,Vanguard Intermediate-Term Bond ETF,not-needed
10,Vanguard Long-Term Bond ETF,not-needed
11,Vanguard Total Bond Market ETF,not-needed
12,Vanguard Total International Bond ETF,not-needed
13,Vanguard Short-Term Bond ETF,not-needed
14,Vanguard Extended Duration ETF,not-needed
15,Vanguard S&P Mid-Cap 400 Growth ETF,not-needed
16,Vanguard S&P Mid-Cap 400 ETF,not-needed
17,Vanguard S&P Mid-Cap 400 Value ETF,not-needed
18,Vanguard Mega Cap ETF,not-needed
19,Vanguard Mega Cap Growth ETF,not-needed
20,Vanguard Mega Cap Value ETF,not-needed
21,Vanguard Materials ETF,not-needed
22,Vanguard Small-Cap ETF,not-needed
23,Vanguard Small-Cap Growth ETF,not-needed
24,Vanguard Small-Cap Value ETF,not-needed
25,Vanguard Scottsdale Funds Vanguard Intermediate-Term Corporate Bond ETF,not-needed
26,Vanguard Scottsdale Funds Vanguard Long-Term Corporate Bond ETF,not-needed
27,Vanguard Consumer Discretionary ETF,not-needed
28,Vanguard Scottsdale Funds Vanguard Short-Term Corporate Bond ETF,not-needed
29,Vanguard Consumer Staples ETF,not-needed
30,Vanguard Energy ETF,not-needed
31,Vanguard FTSE Developed Markets ETF,not-needed
32,Vanguard FTSE All-World ex-US ETF,not-needed
33,Vanguard Financials ETF,not-needed
34,Vanguard Scottsdale Funds Vanguard Intermediate -Term Government Bond ETF,not-needed
35,Vanguard FTSE Europe ETF,not-needed
36,Vanguard Scottsdale Funds Vanguard Long-Term Government Bond ETF,not-needed
37,Vanguard Short Term Government Bond ETF,not-needed
38,Vanguard Information Technology ETF,not-needed
39,Vanguard Health Care ETF,not-needed
40,Vanguard Dividend Appreciation ETF,not-needed
41,Vanguard S&P Small-Cap 600 Growth ETF,not-needed
42,Vanguard S&P Small-Cap 600 ETF,not-needed
43,Vanguard S&P Small-Cap 600 Value ETF,not-needed
44,Vanguard Industrials ETF,not-needed
45,Vanguard Scottsdale Funds Vanguard Mortgage-Backed Securities ETF,not-needed
46,Vanguard REIT ETF,not-needed
47,Vanguard Global ex-U.S. Real Estate ETF,not-needed
48,Vanguard Mid-Cap ETF,not-needed
49,Vanguard Mid-Cap Value ETF,not-needed
50,Vanguard Russell 1000 Index Fund,not-needed
51,Vanguard Russell 1000 Growth Index Fund,not-needed
52,Vanguard Russell 1000 Value ETF,not-needed
53,Vanguard S&P 500 ETF,not-needed
54,Vanguard S&P 500 Growth ETF,not-needed
55,Vanguard S&P 500 Value ETF,not-needed
56,Vanguard Mid-Cap Growth ETF,not-needed
57,Vanguard Telecommunication Services ETF,not-needed
58,Vanguard FTSE Pacific ETF,not-needed
59,Vanguard Utilities ETF,not-needed
60,Vanguard FTSE All-World Ex-US Small-Cap Index Fund ETF,not-needed
61,Vanguard Total World Stock ETF,not-needed
62,Vanguard Total Stock Market ETF,not-needed
63,Vanguard Value ETF,not-needed
64,Vanguard Russell 2000 Growth Index Fund,not-needed
65,Vanguard Russell 2000 ETF,not-needed
66,Vanguard Russell 2000 Value ETF,not-needed
67,Vanguard Growth ETF,not-needed
68,Vanguard Large-Cap ETF,not-needed
69,Vanguard FTSE Emerging Markets ETF,not-needed
70,Vanguard Emerging Markets Government Bond ETF,not-needed
71,Vanguard Extended Market ETF,not-needed
72,Vanguard Total International Stock ETF,not-needed
73,Vanguard Whitehall Funds High Dividend Yield ETF,not-needed
74,WCM / BNY Mellon Focused Growth ADR ETF,not-needed
75,AdvisorShares Pring Turner Business Cycle ETF,not-needed
76,AdvisorShares Trust Athena High Dividend ETF,not-needed
77,AdvisorShares Madrona Global Bond ETF,not-needed
78,AdvisorShares Morgan Creek Global Tactical ETF,not-needed
79,AdvisorShares Peritus High Yield ETF,not-needed
80,AdvisorShares Meidell Tactical Advantage ETF,not-needed
81,AdvisorShares Newfleet Multi-Sector Income ETF,not-needed
82,AdvisorShares Sunrise Global Multi-Strategy ETF,not-needed
83,AdvisorShares QAM Equity Hedge ETF,not-needed
84,AdvisorShares TrimTabs Float Shrink ETF,not-needed
85,AdvisorShares STAR Global Buy-Write ETF,not-needed
86,PIMCO California Municipal Income Fund,https://www.pimco.com/investments/closed-end-funds/california-municipal-income-fund
87,ETF Series Solutions AlphaClone Alternative Alpha ETF,not-needed
88,Premier Mortgage Resources Inc.,http://www.pmrmtg.com/
89,American Medical Alert Corp,http://americas.tunstall.com/
90,ARK Genomic Revolution Multi-Sector ETF,not-needed
91,ARK Innovation ETF,not-needed
92,ARK ETF Trust ARK Industrial Innovation ETF,not-needed
93,ARK ETF Trust ARK Web x.0 ETF,not-needed
94,Ascent Capital Group Inc,http://ir.ascentcapitalgroupinc.com/
95,Axsome Therapeutics Inc,http://axsome.com/
96,NYSE Euronext,https://www.nyse.com/
97,Etfis Series Trust I - BioShares Biotechnology Clinical Trials Fund,http://www.bioshares.com/bbc
98,Etfis Series Trust I - BioShares Biotechnology Products Fund,not-needed
99,DNA Precious Metals Inc-Old,not_found-1
100,BlackBerry Ltd,http://us.blackberry.com/company.html
101,MPM Technologies Inc,not_found-1
102,Celerity Solutions Inc,http://www.celerity.com/
103,Cell MedX Corp,http://cellmedx.com/
104,Chaparral Gold Corp,not_found-1
105,Chelsea Oil and Gas Ltd,not_found-1
106,Chemdesign Corp,http://chemdesign.com/
107,Chuma Holdings Inc,not-needed
108,ClearSign Combustion Corp,http://www.clearsign.com/
109,Tortoise Pipeline & Energy Fund Inc,not_found-1
110,Crestwood Midstream Partners LP,http://www.crestwoodlp.com/
111,Williams Cos Inc. (The),http://co.williams.com/
112,First Bank Philadelphia/PA,http://www.firstrust.com/
113,CorEnergy Infrastructure Trust Inc,http://investors.corenergy.reit/
114,E Machitown Co Ltd,not_found-1
115,IGN Entertainment Inc,http://corp.ign.com/
116,Comstock Resources Inc.,http://crkfrisco.com/
117,Crystal Mountain,http://www.crystalmountain.com/
118,CSW Industrials Inc,http://www.cswindustrials.com/
119,Direxion Daily Real Estate Bear 3X Shares,not-needed
120,Direxion Daily India Bull 3X Shares,not-needed
121,Energy Corp of America,http://energycorporationofamerica.com/
122,Kiddie Academy International Inc,https://kiddieacademy.com/
123,Elegant Illusions Inc,http://www.elegant-illusions.com/
124,Semler Scientific Inc,http://semlerscientific.com/
125,"Epcos AG, Muenchen",https://en.tdk.eu/
126,Franklin Short Duration US Government ETF,not-needed
127,Deutsche X-trackers Harvest CSI 300 China A-Shares ETF,not-needed
128,Deutsche X-trackers Harvest CSI 500 China A-Shares Small Cap ETF,not-needed
129,Deutsche X-trackers MSCI All China Equity ETF,not-needed
130,Deutsche X-trackers MSCI AC Asia Pacific ex Japan Hedged Equity ETF,not-needed
131,Deutsche X-trackers MSCI All World ex US Hedged Equity ETF,not-needed
132,Deutsche X-trackers MSCI Brazil Hedged Equity ETF,not-needed
133,Deutsche X-trackers MSCI EAFE Hedged Equity ETF,not-needed
134,Deutsche X-trackers MSCI Emerging Markets Hedged Equity ETF,not-needed
135,Deutsche X-trackers MSCI Europe Hedged Equity ETF,not-needed
136,Deutsche X-trackers MSCI  Eurozone Hedged Equity ETF,not-needed
137,Deutsche X-trackers MSCI Germany Hedged Equity ETF,not-needed
138,Deutsche X-trackers MSCI Japan Hedged Equity ETF,not-needed
139,Deutsche X-trackers MSCI South Korea Hedged Equity ETF,not-needed
140,Deutsche X-trackers MSCI Mexico Hedged Equity ETF,not-needed
141,Deutsche X-trackers MSCI United Kingdom Hedged Equity ETF,not-needed
142,Deutsche X-trackers Municipal Infrastructure Revenue Bond ETF,not-needed
143,Experience Art and Design Inc,not_found-1
144,Calvin Klein Inc,http://www.calvinklein.us/
145,Castelle,http://castelleluxury.com/
146,Caterpillar Financial Services,https://www.catfinancial.com/
147,Fifth Street Senior Floating Rate Corp,http://fsfr.fifthstreetfinance.com/
148,Calamos Convertible Opportunities and Income Fund,http://www.calamos.com/CHI
149,Calamos Convertible and High Income Fund,not-needed
150,Calamos Strategic Total Return Fund,not-needed
151,Eaton Vance California Municipal Income Trust,not-needed
152,Eaton Vance Senior Floating Rate Trust,not-needed
153,Eaton Vance Floating-Rate Income Trust,not-needed
154,Eaton Vance Municipal Bond Fund,not-needed
155,Eaton Vance Ohio Municipal Bond Fund,not-needed
